更新时间,#genre#
CCTV-9,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/wh7f454c46tw1536262155_328032765/ott.mobaibox.com/PLTV/3/224/3221227704/index.m3u8?icpid=3&RTS=1674385946&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3$订阅源|IPv6
CCTV-9,http://[2409:8087:2001:20:2800:0:df6e:eb0a]:80/wh7f454c46tw2468865118_1937404571/ott.mobaibox.com/PLTV/3/224/3221227659/index.m3u8?$订阅源|IPv6
CCTV-10,http://123.56.129.203:2260/rtp/225.1.8.10:8116$北京电信组播源
CCTV-10,http://123.56.129.203:2260/rtp/225.1.8.110:8228$北京电信组播源
CCTV-11,http://123.56.129.203:2260/rtp/225.1.8.73:8120$北京电信组播源
CCTV-11,http://123.56.129.203:2260/rtp/225.1.8.111:8040$北京电信组播源
CCTV-11,http://[2409:8087:1a0a:df::4016]:80/wh7f454c46tw1773849430_946809046/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8?icpid=88888888&RTS=1713968602&from=4&hms_devid=992&online=1713968602&vqe=3$订阅源|IPv6
CCTV-11,http://[2409:8087:2001:20:2800:0:df6e:eb0e]:80/wh7f454c46tw1745802037_-1916607101/ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8?$订阅源|IPv6
CCTV-12,http://123.56.129.203:2260/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:2260/rtp/225.1.8.112:8232$北京电信组播源
CCTV-12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/1.m3u8$订阅源|IPv6
CCTV-12,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1801993293_427444497/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8?icpid=88888888&RTS=1713968631&from=4&hms_devid=1208&online=1713968631&vqe=3$订阅源|IPv6
CCTV-13,http://123.56.129.203:2260/rtp/225.1.8.168:8130$北京电信组播源
CCTV-13,http://123.56.129.203:2260/rtp/225.1.1.10:8128$北京电信组播源
CCTV-13,http://[2409:8087:2001:20:2800:0:df6e:eb16]:80/wh7f454c46tw2053011790_915661497/ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8?$订阅源|IPv6
CCTV-13,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000510/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000010$订阅源|IPv6
